state,district,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20
California,37,6373,6454,6594,6724,6868,7050,7269,7477,7608,7761,7762,7763,8282,8393
California,38,6250,6329,6468,6597,6739,6917,7132,7339,7469,7620,7625,7629,8136,8249
California,39,3686,3764,3888,4008,4121,4200,4336,4534,4660,4812,4934,4995,5279,5474
California,40,6373,6454,6594,6724,6868,7050,7269,7477,7608,7761,7762,7763,8282,8393
California,41,4632,4785,4861,5021,5021,5021,5340,5552,5791,6009,6243,6243,6243,6598
California,42,4632,4785,4861,5021,5021,5021,5340,5552,5791,6009,6243,6243,6243,6598
California,43,6373,6454,6594,6724,6868,7050,7269,7477,7608,7761,7762,7763,8282,8393
California,44,6373,6454,6594,6724,6868,7050,7269,7477,7608,7761,7762,7763,8282,8393
California,45,2512,2578,2694,2799,2916,2950,3057,3239,3373,3525,3692,3789,3944,4184
California,46,2512,2578,2694,2799,2916,2950,3057,3239,3373,3525,3692,3789,3944,4184
California,47,4749,4823,4951,5070,5202,5323,5494,5691,5822,5973,6043,6083,6449,6613
California,48,2512,2578,2694,2799,2916,2950,3057,3239,3373,3525,3692,3789,3944,4184
California,49,2545,2618,2703,2804,2907,3001,3112,3210,3322,3460,3583,3605,3820,3876
California,50,2804,2888,2964,3072,3159,3259,3395,3484,3607,3750,3875,3875,4082,4123
California,51,7201,7537,7789,7959,8236,8321,8552,8661,9024,9424,9663,9723,9899,10050
California,52,2564,2639,2715,2815,2914,3027,3140,3212,3319,3452,3563,3563,3797,3797
California,53,2564,2639,2715,2815,2914,3027,3140,3212,3319,3452,3563,3563,3797,3797
Colorado,1,7463,7543,7610,7682,7732,7798,7859,7890,7954,8040,8096,8141,8169,8220
Colorado,2,2734,2758,2787,2817,2841,2865,2883,2912,2947,2980,3011,3039,3063,3081
Colorado,3,2420,2448,2488,2524,2546,2576,2601,2663,2685,2706,2735,2766,2782,2789
Colorado,4,5430,5459,5491,5528,5551,5577,5597,5615,5654,5690,5718,5742,5765,5779
Colorado,5,2301,2336,2385,2431,2462,2496,2529,2542,2600,2644,2696,2748,2782,2821
Colorado,6,5735,5769,5826,5873,5909,5955,5977,6009,6053,6098,6137,6175,6210,6235
Colorado,7,4799,4831,4881,4930,4968,5026,5054,5073,5124,5181,5208,5244,5282,5320
Connecticut,1,8812,8817,8842,8864,8902,8923,8951,8981,9001,9022,9030,9030,9030,9082
Connecticut,2,4479,4481,4491,4508,4536,4554,4570,4600,4604,4616,4625,4625,4625,4674
Connecticut,3,9991,9994,10008,10018,10036,10056,10073,10106,10114,10127,10147,10147,10147,10193
Connecticut,4,12839,12843,12859,12872,12904,12925,12950,12979,12991,13003,13022,13022,13022,13073
Connecticut,5,9544,9547,9561,9573,9605,9621,9643,9672,9682,9694,9710,9710,9710,9757
Delaware,1,10830,10870,10959,10994,11065,11196,11340,11436,11468,11678,11854,11923,12047,12202
Florida,1,2293,2417,2605,2830,2919,3033,3126,3558,3728,4087,4368,4710,5015,5200
Florida,2,2313,2354,2410,2525,2646,2815,2886,3066,3177,3569,3751,3959,4151,4258
Florida,3,1799,1901,2003,2155,2336,2510,2588,2678,2808,3059,3294,3500,3680,3803
Florida,4,2271,2421,2635,2954,3391,3866,4056,4305,4499,5022,5516,5950,6326,6569
Florida,5,2733,2861,3045,3318,3715,4188,4344,4607,4793,5366,5785,6245,6624,6849
Florida,6,1828,1920,2045,2235,2424,2662,2786,2896,3057,3268,3451,3603,3747,3896
Florida,7,2766,3071,3390,3842,4314,4677,4870,5031,5281,5575,5874,6375,6693,6873
Florida,8,1412,1558,1716,1940,2282,2412,2532,2624,2842,3101,3343,3522,3635,3731
Florida,9,2933,3163,3417,3824,4305,4745,4962,5179,5490,5882,6293,6824,7247,7523
Florida,10,3345,3682,4126,4772,5373,5880,6089,6271,6611,6966,7343,8063,8531,8759
Florida,11,1267,1343,1399,1510,1684,1798,1866,1928,2094,2252,2364,2493,2630,2731
Florida,12,1978,2199,2357,2622,3083,3314,3504,3646,3883,4125,4407,4679,4934,5084
Florida,13,3065,3334,3548,3875,4342,4575,4758,4930,5214,5509,5850,6168,6485,6657
Florida,14,3496,3901,4148,4538,5168,5614,5843,6086,6489,7005,7383,7754,8114,8307
Florida,15,3000,3298,3488,3804,4336,4726,4941,5147,5475,5888,6252,6574,6924,7154
Florida,16,3391,3635,3788,4102,4574,4804,4954,5075,5394,5730,5963,6480,6780,6911
Florida,17,3287,3449,3554,3823,4156,4264,4440,4568,4750,4994,5242,5561,5755,5881
Florida,18,5163,5348,5496,5729,6089,6320,6494,6694,6900,7088,7348,7687,7970,8238
Florida,19,4903,5116,5251,5983,6248,6508,6690,6925,7244,7631,8099,8663,8977,9148
Florida,20,5081,5269,5420,5731,5999,6234,6403,6634,6827,7155,7533,8037,8600,8836
Florida,21,5892,6079,6240,6586,6813,7056,7226,7457,7614,7831,8076,8511,8873,9087
Florida,22,4892,5080,5229,5531,5809,6040,6210,6441,6643,6996,7404,7923,8532,8773
Florida,23,4971,5167,5323,5631,5929,6197,6392,6646,6868,7278,7735,8285,8945,9224
Florida,24,7150,7408,7642,8054,8424,8981,9372,9792,10097,10709,11266,11923,12563,13079
Florida,25,7809,8055,8277,8753,9163,9678,10021,10391,10720,11272,11786,12387,12941,13376
Florida,26,6872,7119,7354,7751,8094,8647,9042,9464,9760,10362,10900,11519,12120,12628
Florida,27,7483,7750,7997,8425,8806,9406,9827,10273,10591,11234,11805,12479,13116,13669
Georgia,1,2917,3013,3170,3304,3410,3427,3502,4051,4242,4583,4931,5253,5382,5611
Georgia,2,7472,7563,7668,7780,7860,7896,7971,8198,8370,8539,8779,9001,9194,9279
Georgia,3,4573,4736,4802,4906,5010,5079,5094,5318,5516,5695,5918,6115,6229,6331
Georgia,4,4811,4975,5090,5181,5280,5334,5360,5667,5812,6023,6279,6565,6730,6869
Georgia,5,4578,4698,4796,4914,5022,5088,5112,5367,5565,5760,6029,6382,6560,6714
Georgia,6,4513,4639,4724,4832,4934,5004,5030,5304,5501,5704,5952,6266,6421,6568
Georgia,7,5177,5478,5622,5804,5920,5984,6037,6293,6507,6703,7054,7357,7479,7589
Georgia,8,5155,5309,5455,5688,5859,5963,6077,6329,6531,6706,6958,7135,7336,7497
Georgia,9,5713,5840,5893,5969,6038,6101,6148,6288,6462,6570,6703,6842,6890,6943
Georgia,10,3897,4007,4093,4182,4258,4293,4352,4555,4729,4866,5102,5269,5363,5459
Georgia,11,4034,4145,4215,4284,4380,4470,4519,4697,4870,5022,5189,5350,5433,5537
Georgia,12,2955,3114,3202,3305,3373,3539,3646,3837,4052,4208,4483,4687,4840,4927
Georgia,13,4105,4224,4326,4429,4533,4599,4614,4816,5017,5223,5450,5683,5806,5922
Georgia,14,3205,3300,3398,3496,3596,3643,3734,3860,4024,4112,4260,4367,4443,4532
Hawaii,1,408,417,425,434,438,454,456,466,471,483,501,514,531,536
Hawaii,2,399,404,412,416,418,429,428,434,438,446,456,467,474,476
Idaho,1,1579,1661,1949,1949,2208,2208,2457,2671,2821,2953,3230,3524,3758,3928
Idaho,2,2675,2740,2915,2915,3113,3113,3295,3445,3548,3639,3762,3845,3974,4123
Illinois,1,11359,11405,11471,11528,11573,11619,11667,11723,11776,11839,11892,11954,11994,12029
Illinois,2,10877,10926,10987,11102,11167,11207,11250,11300,11357,11424,11471,11526,11563,11596
Illinois,3,11343,11388,11454,11511,11556,11602,11650,11706,11758,11820,11874,11936,11975,12010
Illinois,4,12026,12075,12145,12202,12249,12296,12347,12403,12455,12519,12573,12637,12677,12711
Illinois,5,11558,11605,11672,11729,11774,11819,11868,11922,11973,12036,12088,12151,12190,12225
Illinois,6,7969,8009,8053,8103,8139,8170,8209,8247,8290,8339,8380,8432,8469,8505
Illinois,7,12026,12075,12145,12202,12249,12296,12347,12403,12455,12519,12573,12637,12677,12711
Illinois,8,9886,9931,9984,10039,10077,10114,10160,10205,10250,10306,10352,10411,10450,10486
Illinois,9,12026,12075,12145,12202,12249,12296,12347,12403,12455,12519,12573,12637,12677,12711
Illinois,10,10107,10151,10220,10263,10317,10356,10407,10439,10477,10537,10591,10649,10685,10734
Illinois,11,7500,7535,7575,7625,7659,7690,7726,7769,7818,7866,7912,7959,8002,8037
Illinois,12,3225,3290,3331,3377,3435,3491,3568,3593,3655,3693,3748,3786,3845,3880
Illinois,13,1599,1623,1652,1667,1690,1705,1721,1738,1763,1798,1834,1859,1884,1905
Illinois,14,6989,7026,7071,7120,7157,7183,7223,7264,7314,7357,7400,7442,7478,7507
Illinois,15,1181,1194,1216,1230,1256,1278,1291,1298,1322,1340,1376,1392,1407,1423
Illinois,16,3726,3743,3779,3817,3861,3885,3900,3935,3972,3990,4020,4053,4070,4099
Illinois,17,2920,2953,2983,3018,3093,3125,3153,3184,3239,3272,3340,3378,3404,3461
Illinois,18,1193,1223,1240,1252,1272,1286,1305,1316,1342,1367,1407,1430,1449,1476
Indiana,1,5115,5155,5231,5304,5356,5409,5457,5527,5557,5675,5765,5824,5874,5912
Indiana,2,5325,5394,5554,5669,5770,5844,5888,5948,6028,6096,6159,6328,6453,6495
Indiana,3,3881,3933,4012,4086,4148,4206,4248,4294,4348,4382,4433,4490,4545,4587
Indiana,4,5574,5603,5651,5714,5744,5773,5803,5832,5851,5895,5956,5991,6051,6075
Indiana,5,4812,4829,4854,4893,4926,4942,4972,5003,5038,5071,5112,5151,5193,5219
Indiana,6,3318,3329,3352,3369,3400,3421,3447,3469,3492,3505,3566,3599,3650,3674
Indiana,7,8749,8764,8800,8850,8912,8955,8989,9029,9075,9113,9165,9202,9264,9311
Indiana,8,1744,1765,1790,1811,1840,1864,1887,1910,1948,1994,2049,2095,2148,2189
Indiana,9,3722,3734,3763,3786,3816,3840,3859,3891,3917,3956,3998,4029,4095,4127
Iowa,1,5540,5571,5707,5776,5823,5912,5955,6011,6122,6321,6372,6546,6637,6690
Iowa,2,4262,4301,4467,4564,4646,4737,4867,4929,5019,5147,5182,5287,5373,5429
Iowa,3,7804,7816,8037,8084,8206,8356,8426,8478,8595,8817,8894,9071,9225,9304
Iowa,4,8784,8834,9075,9209,9314,9429,9510,9570,9689,9881,9922,10055,10179,10230
Kansas,1,5780,5900,5915,6012,6018,6034,6153,6178,6251,6298,6385,6395,6400,6549
Kansas,2,2421,2521,2545,2649,2681,2681,2786,2833,2933,2984,3107,3110,3110,3343
Kansas,3,3222,3367,3452,3581,3652,3813,3895,3936,4145,4164,4500,4664,4788,4894
Kansas,4,1114,1142,1195,1220,1266,1319,1375,1423,1501,1556,1667,1742,1783,1852
Kentucky,1,2619,2657,2685,2718,2748,2767,2795,2834,2868,2910,2954,2954,2954,3074
Kentucky,2,2893,2932,2980,3032,3081,3093,3123,3171,3206,3242,3299,3299,3299,3418
Kentucky,3,3563,3594,3625,3675,3728,3737,3760,3807,3847,3895,3937,3937,3937,4073
Kentucky,4,2501,2541,2594,2642,2676,2683,2688,2720,2750,2775,2833,2833,2833,3041
Kentucky,5,654,678,706,736,810,818,834,876,899,939,987,987,987,1071
Kentucky,6,1897,1947,2014,2056,2122,2132,2145,2214,2268,2314,2362,2362,2362,2474
Louisiana,1,10372,10504,10614,10772,10772,11023,11143,11217,11446,11622,11897,11897,12201,12349
Louisiana,2,14151,14280,14389,14518,14518,14732,14828,14983,15205,15350,15576,15576,15812,15922
Louisiana,3,5240,5401,5643,6052,6052,6348,6619,6883,7683,8075,8584,8584,9143,9599
Louisiana,4,6245,6347,6531,6770,6770,6992,7092,7283,7520,7722,7918,7918,8181,8303
Louisiana,5,8100,8300,8452,8712,8712,8982,9118,9285,9528,9730,9949,9949,10187,10283
Louisiana,6,7397,7549,7688,7844,7844,8057,8173,8346,8697,8958,9257,9257,9590,9760
Maine,1,2190,2209,2255,2278,2323,2351,2373,2402,2436,2462,2499,2516,2529,2533
Maine,2,804,806,813,818,828,835,841,849,856,860,869,878,883,888
Maryland,1,4261,4283,4305,4329,4365,4380,4421,4439,4467,4509,4543,4564,4595,4618
Maryland,2,6498,6521,6567,6608,6647,6685,6752,6797,6846,6915,6981,7027,7065,7111
Maryland,3,7570,7607,7658,7702,7751,7792,7857,7897,7950,8027,8090,8145,8185,8228
Maryland,4,1652,1655,1665,1672,1684,1688,1701,1706,1715,1730,1737,1750,1757,1767
Maryland,5,2255,2268,2281,2292,2304,2317,2336,2349,2358,2383,2396,2404,2416,2424
Maryland,6,7273,7325,7398,7446,7493,7539,7573,7602,7626,7657,7716,7759,7784,7798
Maryland,7,7390,7438,7489,7536,7592,7641,7723,7771,7836,7928,8008,8070,8114,8171
Maryland,8,9211,9268,9338,9390,9424,9472,9521,9556,9604,9665,9742,9786,9816,9837
Massachusetts,1,8549,8564,8593,8627,8674,8708,8714,8727,8749,8777,8806,8838,8850,8866
Massachusetts,2,9593,9606,9629,9635,9683,9700,9713,9721,9745,9771,9801,9834,9848,9859
Massachusetts,3,12579,12603,12629,12647,12691,12717,12732,12743,12765,12797,12824,12845,12864,12884
Massachusetts,4,10532,10546,10572,10604,10642,10668,10680,10694,10713,10739,10779,10798,10813,10827
Massachusetts,5,12220,12243,12267,12291,12328,12355,12369,12379,12398,12420,12443,12461,12479,12498
Massachusetts,6,14455,14488,14517,14538,14586,14611,14627,14642,14672,14715,14746,14768,14786,14812
Massachusetts,7,17249,17275,17307,17344,17395,17424,17429,17448,17478,17511,17550,17581,17594,17621
Massachusetts,8,12539,12554,12583,12609,12642,12665,12673,12684,12706,12728,12765,12788,12799,12815
Massachusetts,9,9364,9371,9387,9418,9440,9456,9465,9480,9495,9517,9544,9556,9567,9579
Michigan,1,697,707,730,736,739,746,756,778,793,810,831,849,876,895
Michigan,2,3377,3413,3459,3516,3549,3577,3605,3656,3692,3774,3848,3921,3970,3997
Michigan,3,4200,4236,4277,4326,4357,4385,4403,4441,4478,4580,4662,4715,4755,4791
Michigan,4,1654,1662,1679,1695,1704,1715,1729,1747,1768,1795,1815,1845,1878,1896
Michigan,5,3925,3961,3977,3997,4002,4016,4046,4076,4090,4123,4160,4171,4199,4219
Michigan,6,2725,2757,2805,2823,2850,2882,2921,2961,3004,3031,3057,3084,3111,3121
Michigan,7,2419,2446,2475,2497,2516,2527,2546,2584,2601,2609,2641,2659,2669,2689
Michigan,8,3807,3840,3867,3910,3954,3977,3994,4030,4067,4096,4122,4151,4169,4178
Michigan,9,6285,6298,6321,6340,6359,6380,6396,6434,6481,6514,6543,6563,6579,6605
Michigan,10,3963,3980,4000,4024,4047,4059,4076,4099,4136,4171,4191,4207,4219,4240
Michigan,11,7536,7552,7578,7588,7618,7635,7651,7693,7719,7759,7788,7815,7832,7851
Michigan,12,6745,6768,6805,6819,6853,6869,6890,6927,6959,7006,7033,7052,7075,7100
Michigan,13,8631,8662,8712,8722,8761,8777,8793,8834,8868,8921,8945,8972,8995,9024
Michigan,14,7898,7919,7953,7963,7996,8013,8028,8070,8099,8143,8170,8197,8216,8239
Minnesota,1,5441,5525,5604,5743,5846,5971,6027,6113,6193,6279,6361,6361,6457,6495
Minnesota,2,3141,3179,3222,3286,3334,3398,3433,3480,3544,3596,3659,3659,3725,3804
Minnesota,3,5739,5780,5843,5915,5975,6054,6108,6180,6235,6323,6377,6377,6474,6545
Minnesota,4,4966,5003,5059,5108,5176,5232,5259,5323,5374,5441,5483,5483,5541,5618
Minnesota,5,6117,6157,6225,6297,6358,6439,6495,6573,6627,6715,6773,6773,6870,6944
Minnesota,6,4125,4148,4168,4217,4261,4328,4382,4439,4485,4549,4605,4605,4652,4712
Minnesota,7,3075,3100,3122,3158,3185,3216,3239,3268,3315,3350,3398,3398,3440,3466
Minnesota,8,787,790,802,810,815,829,836,844,862,875,891,891,898,907
Mississippi,1,4266,4410,4704,4867,4975,5046,5193,5336,5511,5705,5868,6085,6137,6218
Mississippi,2,6879,7073,7453,7651,7831,7950,8211,8475,8711,9005,9395,9780,9835,9966
Mississippi,3,7571,7691,7934,8034,8129,8236,8378,8534,8662,8892,9095,9328,9386,9464
Mississippi,4,4182,4250,4425,4514,4596,4660,4785,4902,5016,5168,5326,5481,5542,5609
Missouri,1,4874,4724,4833,4989,5059,5140,5225,5323,5338,5418,5470,5520,5548,5601
Missouri,2,3830,3872,3931,3998,4055,4091,4153,4243,4266,4313,4362,4417,4447,4479
Missouri,3,1321,1339,1370,1395,1406,1406,1438,1468,1485,1521,1549,1571,1576,1610
Missouri,4,1043,1066,1107,1140,1162,1181,1212,1254,1271,1312,1379,1432,1455,1490
Missouri,5,1441,1462,1469,1502,1524,1544,1577,1614,1634,1656,1699,1729,1742,1774
Missouri,6,1847,1875,1900,1931,1960,1963,2019,2050,2069,2101,2138,2168,2176,2200
Missouri,7,1391,1446,1556,1662,1750,1757,1852,1932,1997,2194,2295,2408,2454,2556
