state,district,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20
North Carolina,13,3505,3613,3721,3859,3982,4068,4127,4219,4329,4429,4554,4609,4680,4802
North Dakota,1,3320,3362,3393,3421,3458,3495,3539,3576,3615,3657,3722,3779,3816,3849
Ohio,1,3212,3285,3399,3545,3663,3764,3852,3914,4069,4069,4368,4481,4595,4676
Ohio,2,1968,2011,2078,2152,2229,2290,2348,2392,2483,2483,2664,2736,2801,2856
Ohio,3,4978,5049,5152,5277,5390,5481,5569,5672,5790,5790,6092,6214,6368,6454
Ohio,4,3660,3669,3697,3714,3732,3753,3789,3816,3839,3839,3881,3903,3942,3962
Ohio,5,2194,2204,2216,2237,2257,2277,2297,2325,2356,2356,2435,2465,2490,2522
Ohio,6,2469,2489,2561,2634,2654,2777,2797,2816,2843,2843,2975,3005,3030,3054
Ohio,7,1782,1811,1851,1886,1926,1959,2001,2035,2068,2068,2155,2197,2240,2293
Ohio,8,2731,2763,2809,2849,2892,2925,2950,2978,3043,3043,3157,3201,3241,3271
Ohio,9,3243,3287,3330,3379,3422,3468,3508,3554,3618,3618,3740,3806,3866,3927
Ohio,10,1560,1613,1690,1754,1784,1835,1886,1951,2045,2045,2201,2218,2271,2331
Ohio,11,3153,3226,3302,3392,3465,3536,3600,3672,3763,3763,3968,4060,4138,4217
Ohio,12,2834,2864,2917,2971,3026,3076,3128,3178,3252,3252,3393,3471,3545,3605
Ohio,13,3003,3033,3064,3107,3140,3169,3206,3235,3282,3282,3423,3458,3491,3528
Ohio,14,2226,2259,2295,2329,2360,2394,2423,2461,2497,2497,2613,2657,2689,2715
Ohio,15,4646,4684,4730,4796,4851,4902,4949,4998,5072,5072,5227,5297,5380,5435
Ohio,16,2466,2511,2559,2618,2665,2704,2743,2790,2843,2843,2965,3013,3063,3108
Oklahoma,1,3117,3389,3602,3770,3850,3932,3990,4135,4262,4408,4535,4741,4809,4886
Oklahoma,2,1478,1520,1566,1614,1650,1693,1732,1870,1914,1980,2057,2134,2186,2251
Oklahoma,3,2427,2472,2501,2564,2599,2629,2646,2712,2738,2779,2837,2907,2948,2998
Oklahoma,4,1850,1892,1954,2000,2043,2129,2176,2239,2297,2353,2509,2614,2655,2775
Oklahoma,5,2159,2237,2325,2399,2504,2564,2631,2801,2908,3011,3131,3252,3333,3452
Oregon,1,1424,1460,1488,1538,1591,1627,1658,1679,1738,1816,1870,1920,1987,2030
Oregon,2,1270,1328,1368,1449,1543,1636,1682,1741,1832,1988,2112,2238,2327,2367
Oregon,3,1893,1937,1966,2026,2083,2136,2166,2202,2240,2302,2362,2421,2491,2533
Oregon,4,383,386,400,423,444,447,455,467,492,513,543,561,577,590
Oregon,5,2304,2333,2347,2382,2433,2495,2525,2567,2628,2675,2749,2790,2848,2875
Pennsylvania,1,6404,6446,6482,6514,6547,6564,6579,6597,6634,6661,6694,6711,6753,6784
Pennsylvania,2,11705,11755,11755,11870,11911,11911,12008,12073,12131,12197,12260,12273,12273,12386
Pennsylvania,3,11705,11755,11755,11870,11911,11911,12008,12073,12131,12197,12260,12273,12273,12386
Pennsylvania,4,7209,7233,7283,7332,7376,7398,7430,7461,7492,7519,7561,7584,7602,7623
Pennsylvania,5,9291,9315,9333,9376,9401,9423,9456,9499,9538,9574,9620,9639,9670,9705
Pennsylvania,6,5772,5799,5822,5857,5896,5920,5951,5988,6024,6046,6079,6099,6134,6143
Pennsylvania,7,7910,7945,7993,8026,8064,8086,8112,8137,8173,8212,8242,8259,8276,8287
Pennsylvania,8,5568,5580,5603,5629,5662,5677,5692,5715,5725,5748,5768,5787,5802,5807
Pennsylvania,9,5302,5318,5347,5374,5397,5424,5449,5465,5503,5527,5554,5567,5581,5583
Pennsylvania,10,3283,3314,3366,3400,3425,3449,3495,3595,3622,3704,3762,3793,3828,3838
Pennsylvania,11,4697,4751,4819,4891,4944,5011,5046,5090,5119,5170,5205,5255,5278,5292
Pennsylvania,12,1242,1248,1253,1268,1280,1287,1298,1306,1323,1341,1355,1380,1389,1394
Pennsylvania,13,1895,1914,1929,1945,1968,1983,2000,2021,2048,2070,2091,2107,2120,2130
Pennsylvania,14,797,812,833,846,878,908,932,946,984,1040,1089,1139,1186,1243
Pennsylvania,15,510,513,519,527,537,544,548,559,573,588,606,622,638,643
Pennsylvania,16,987,1007,1030,1051,1071,1085,1096,1117,1137,1157,1188,1210,1231,1262
Pennsylvania,17,1603,1626,1646,1673,1716,1762,1801,1865,1922,2031,2124,2203,2275,2373
