"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"13281","09","Towns GA",10471,1 
"13283","12","Treutlen GA",6885,1 
"13285","03","Troup GA",67044,1 
"13287","08","Turner GA",8930,1 
"13289","08","Twiggs GA",9023,1 
"13291","09","Union GA",21356,1 
"13293","03","Upson GA",27153,1 
"13295","14","Walker GA",68756,1 
"13297","10","Walton GA",83768,1 
"13299","01","Ware GA",36312,1 
"13301","10","Warren GA",5834,1 
"13303","10","Washington GA",21187,1 
"13305","01","Wayne GA",30099,1 
"13307","02","Webster GA",2799,1 
"13309","12","Wheeler GA",7421,1 
"13311","09","White GA",27144,1 
"13313","14","Whitfield GA",102599,1 
"13315","08","Wilcox GA",9255,1 
"13317","10","Wilkes GA",10593,1 
"13319","08","Wilkinson GA",9563,1 
"13321","08","Worth GA",21679,1 
